subclass.full,count
Adaptive / Maladaptive / Repairing Fibroblast,50
Adaptive / Maladaptive / Repairing Proximal Tubule Epithelial Cell,50
Mesangial Cell,50
Medullary Thick Ascending Limb Cell,50
Medullary Fibroblast,50
Mast Cell,50
Macula Densa Cell,50
M2 Macrophage,50
Lymphatic Endothelial Cell,50
Intercalated Cell Type B,50
Inner Medullary Collecting Duct Cell,50
Glomerular Capillary Endothelial Cell,50
Fibroblast,50
Distal Convoluted Tubule Cell Type 2,50
Distal Convoluted Tubule Cell Type 1,50
Descending Vasa Recta Endothelial Cell,50
Descending Thin Limb Cell Type 3,50
Monocyte-derived Cell,50
Myofibroblast,50
Natural Killer Cell / Natural Killer T Cell,50
Podocyte,50
Vascular Smooth Muscle Cell,50
Transitional Principal-Intercalated Cell,50
T Cell,50
Renin-positive Juxtaglomerular Granular Cell,50
Proximal Tubule Epithelial Cell Segment 3,50
Proximal Tubule Epithelial Cell Segment 1 / Segment 2,50
Plasma Cell,50
Neutrophil,50
Peritubular Capilary Endothelial Cell ,50
Parietal Epithelial Cell,50
Papillary Tip Epithelial Cell,50
Outer Medullary Collecting Duct Principal Cell,50
Outer Medullary Collecting Duct Intercalated Cell Type A,50
Non-classical Monocyte,50
Descending Thin Limb Cell Type 2,50
Descending Thin Limb Cell Type 1,50
Degenerative Vascular Smooth Muscle Cell,50
Cycling Proximal Tubule Epithelial Cell,50
Adaptive / Maladaptive / Repairing Thick Ascending Limb Cell,50
Afferent / Efferent Arteriole Endothelial Cell,50
Ascending Thin Limb Cell,50
Ascending Vasa Recta Endothelial Cell,50
B Cell,50
Classical Dendritic Cell,50
Connecting Tubule Cell,50
Connecting Tubule Intercalated Cell Type A,50
Connecting Tubule Principal Cell,50
Cortical Collecting Duct Intercalated Cell Type A,50
Cortical Collecting Duct Principal Cell,50
Cortical Thick Ascending Limb Cell,50
Cycling Endothelial Cell,50
Degenerative Proximal Tubule Epithelial Cell,50
Vascular Smooth Muscle Cell / Pericyte,50
Degenerative Endothelial Cell,50
Degenerative Medullary Fibroblast,50
Degenerative Ascending Thin Limb Cell,50
Degenerative Connecting Tubule Cell,50
Degenerative Podocyte,50
Degenerative Peritubular Capilary Endothelial Cell,50
Degenerative Cortical Intercalated Cell Type A,50
Degenerative Cortical Thick Ascending Limb Cell,50
Degenerative Descending Thin Limb Cell Type 3,50
Degenerative Distal Convoluted Tubule Cell,50
Degenerative Outer Medullary Collecting Duct Principal Cell,50
Degenerative Medullary Thick Ascending Limb Cell,50
Degenerative Fibroblast,50
Degenerative Inner Medullary Collecting Duct Cell,50
Cycling Mononuclear Phagocyte,48
Schwann Cell / Neural,35
Plasmacytoid Dendritic Cell,31
Cycling Myofibroblast,18
Cycling Natural Killer Cell / Natural Killer T Cell,16
Cycling Connecting Tubule Cell,12
Cycling Distal Convoluted Tubule Cell,6
